task_id,country,evaluator_id,hire_date,task_date,task_type,accuracy,duration_sec,payment_usd
8072,DE,1174,2025-01-20,2025-03-13,Business Search,0.916,130,0.44
8073,IN,1032,2025-01-18,2025-03-14,Image Labelling,0.937,118,0.47
8074,IN,1140,2024-09-08,2025-02-02,Receipt Transcription,0.945,307,1.3
8075,NG,1055,2024-09-03,2025-02-11,Image Labelling,0.982,801,2.45
8076,UK,1066,2025-02-01,2025-03-18,Image Labelling,0.968,443,1.7
8077,IN,1012,2025-03-18,2025-04-21,Image Labelling,0.927,192,0.75
8078,IT,1049,2024-12-26,2025-04-04,Receipt Transcription,0.938,629,2.77
8079,DE,1184,2024-11-07,2025-02-17,Business Search,0.938,444,2.08
8080,DE,1027,2025-01-19,2025-02-28,Image Labelling,1.0,296,1.64
8081,UK,1103,2024-10-02,2025-02-26,Receipt Transcription,0.884,79,0.39
8082,US,1097,2024-10-23,2025-04-06,Image Labelling,0.961,159,0.56
8083,UK,1095,2025-04-10,2025-04-24,Business Search,0.947,118,0.42
8084,US,1086,2024-10-14,2025-02-27,Image Labelling,0.969,73,0.3
8085,IN,1087,2024-10-30,2025-01-28,Receipt Transcription,0.903,75,0.29
8086,IN,1192,2025-03-17,2025-04-21,Business Search,0.949,178,0.76
8087,ZA,1151,2025-01-17,2025-04-04,Image Labelling,0.972,1457,6.0
8088,IN,1194,2025-01-11,2025-04-12,Image Labelling,0.939,302,1.65
8089,US,1124,2024-11-01,2025-02-14,Image Labelling,0.948,112,0.35
8090,BR,1080,2025-03-20,2025-03-26,Receipt Transcription,0.946,138,0.74
8091,BR,1006,2024-10-14,2025-02-16,Receipt Transcription,0.913,255,1.2
8092,DE,1073,2024-10-29,2025-01-28,Receipt Transcription,0.947,197,0.89
8093,IT,1082,2024-10-18,2025-02-10,Image Labelling,0.963,38,0.14
8094,ZA,1023,2024-11-19,2025-04-20,Image Labelling,0.974,118,0.62
8095,IT,1136,2024-11-06,2025-02-15,Business Search,0.972,290,0.86
8096,BR,1113,2024-10-10,2025-03-20,Image Labelling,0.98,158,0.44
8097,US,1014,2024-12-03,2025-04-24,Receipt Transcription,0.925,161,0.6
8098,US,1112,2024-10-12,2025-02-02,Image Labelling,1.0,701,3.47
8099,DE,1183,2024-12-26,2025-04-09,Image Labelling,1.0,58,0.24
8100,IT,1121,2025-01-03,2025-03-21,Image Labelling,0.913,299,1.09
8101,NG,1085,2024-09-20,2025-02-25,Image Labelling,0.939,900,3.02
8102,ZA,1144,2024-12-16,2025-02-28,Image Labelling,0.94,880,4.85
8103,DE,1018,2025-01-26,2025-01-29,Business Search,0.758,62,0.22
8104,US,1008,2025-02-13,2025-02-19,Image Labelling,0.929,70,0.2
8105,NG,1063,2024-09-21,2025-03-06,Image Labelling,0.956,240,1.02
8106,IN,1184,2025-03-11,2025-04-01,Image Labelling,0.903,1145,5.5
8107,US,1037,2024-10-02,2025-02-20,Receipt Transcription,0.96,332,1.79
8108,DE,1135,2024-10-19,2025-03-20,Receipt Transcription,0.938,459,1.76
8109,IN,1133,2024-12-24,2025-04-02,Image Labelling,0.967,219,0.71
8110,IN,1176,2024-10-30,2025-03-30,Business Search,0.983,573,1.88
8111,DE,1101,2025-03-02,2025-03-21,Image Labelling,0.908,60,0.27
8112,UK,1172,2024-09-22,2025-03-20,Image Labelling,0.937,223,0.73
8113,ZA,1148,2024-12-15,2025-04-01,Image Labelling,0.961,471,2.29
8114,IN,1092,2024-09-26,2025-02-26,Receipt Transcription,0.914,279,1.19
8115,DE,1033,2025-01-18,2025-03-08,Receipt Transcription,0.936,1418,6.22
8116,UK,1139,2025-02-26,2025-04-23,Receipt Transcription,0.962,55,0.2
8117,IN,1038,2025-03-01,2025-03-28,Business Search,1.0,176,0.9
8118,UK,1095,2024-11-06,2025-03-14,Receipt Transcription,0.96,80,0.3
8119,US,1005,2025-03-16,2025-03-20,Business Search,0.973,74,0.31
8120,IT,1080,2025-01-17,2025-02-05,Receipt Transcription,0.944,594,2.0
8121,UK,1031,2025-02-18,2025-03-21,Business Search,0.919,478,2.61
8122,IN,1187,2024-12-09,2025-04-12,Receipt Transcription,0.89,176,0.85
8123,US,1135,2024-11-18,2025-03-15,Image Labelling,0.974,291,1.59
8124,IN,1165,2024-10-23,2025-02-11,Business Search,0.941,96,0.51
8125,UK,1146,2024-12-24,2025-03-08,Business Search,0.932,169,0.57
8126,US,1182,2024-09-06,2025-02-21,Image Labelling,0.921,587,2.54
8127,US,1008,2024-09-08,2025-02-28,Image Labelling,0.935,151,0.71
8128,BR,1179,2024-12-12,2025-02-16,Business Search,0.989,153,0.52
8129,BR,1155,2024-11-24,2025-02-26,Business Search,0.98,98,0.38
8130,UK,1061,2024-12-07,2025-04-10,Image Labelling,0.942,89,0.33
8131,IN,1175,2025-02-16,2025-04-05,Image Labelling,0.99,559,1.98
8132,IN,1113,2024-10-26,2025-03-12,Image Labelling,0.933,207,0.9
8133,ZA,1166,2024-11-20,2025-04-07,Image Labelling,0.977,75,0.22
8134,DE,1180,2025-01-24,2025-04-24,Business Search,0.978,478,2.13
8135,IN,1190,2024-12-20,2025-03-04,Receipt Transcription,0.928,117,0.51
8136,US,1018,2024-12-31,2025-04-25,Image Labelling,0.874,173,0.76
8137,DE,1032,2025-02-16,2025-02-18,Business Search,0.933,51,0.25
8138,ZA,1063,2024-11-19,2025-04-22,Image Labelling,0.962,212,1.02
8139,IT,1025,2024-11-10,2025-04-14,Image Labelling,0.96,380,2.1
8140,UK,1172,2024-11-15,2025-02-13,Business Search,0.894,126,0.42
8141,US,1000,2025-02-25,2025-02-27,Image Labelling,0.958,301,1.4
8142,IN,1193,2025-01-24,2025-03-31,Receipt Transcription,0.911,430,2.21
8143,IN,1162,2024-11-24,2025-02-13,Image Labelling,0.978,474,2.46
8144,DE,1076,2024-10-21,2025-03-21,Receipt Transcription,0.944,399,1.84
8145,ZA,1102,2025-03-10,2025-03-16,Business Search,0.988,262,0.89
8146,US,1095,2024-11-23,2025-02-22,Image Labelling,0.945,52,0.28
8147,UK,1172,2024-12-03,2025-02-23,Image Labelling,0.949,159,0.59
8148,BR,1075,2025-02-03,2025-03-14,Business Search,0.905,247,0.84
8149,UK,1032,2025-01-10,2025-02-22,Image Labelling,0.955,92,0.5
8150,UK,1081,2024-10-31,2025-02-12,Business Search,0.988,294,1.4
8151,IT,1068,2024-10-14,2025-04-06,Receipt Transcription,1.0,247,1.31
8152,NG,1082,2024-10-29,2025-03-20,Image Labelling,0.978,651,2.48
8153,US,1158,2024-12-07,2025-03-07,Business Search,0.941,176,0.74
8154,BR,1191,2024-11-01,2025-02-12,Image Labelling,0.917,434,1.27
8155,IN,1105,2024-12-08,2025-03-21,Image Labelling,0.676,144,0.68
8156,US,1101,2024-11-18,2025-03-24,Receipt Transcription,0.961,259,0.93
8157,IN,1113,2025-01-10,2025-03-11,Receipt Transcription,0.909,308,1.28
8158,DE,1142,2024-10-31,2025-03-01,Business Search,0.971,456,1.66
8159,DE,1045,2025-03-01,2025-04-15,Image Labelling,0.964,688,1.94
8160,IN,1119,2024-11-07,2025-03-31,Receipt Transcription,0.906,328,1.18
8161,ZA,1047,2024-09-12,2025-02-28,Receipt Transcription,0.965,591,2.18
8162,US,1067,2024-12-11,2025-03-21,Receipt Transcription,0.972,113,0.49
8163,DE,1082,2025-02-05,2025-02-17,Receipt Transcription,0.989,150,0.7
8164,DE,1084,2024-09-22,2025-01-28,Business Search,0.947,674,3.29
8165,DE,1125,2024-10-31,2025-04-15,Receipt Transcription,0.929,376,1.89
8166,DE,1167,2024-10-23,2025-04-10,Receipt Transcription,0.926,95,0.44
8167,US,1120,2024-10-13,2025-03-25,Business Search,0.951,826,3.98
8168,IN,1128,2024-12-30,2025-04-10,Business Search,0.894,86,0.37
8169,DE,1019,2024-10-24,2025-04-07,Image Labelling,0.965,170,0.56
8170,US,1149,2025-02-25,2025-04-14,Image Labelling,0.957,61,0.21
8171,NG,1181,2025-03-23,2025-04-17,Image Labelling,0.907,334,1.47
8172,NG,1064,2025-01-15,2025-04-10,Image Labelling,0.612,144,0.8
8173,DE,1142,2025-04-08,2025-04-13,Business Search,0.966,555,2.09
8174,UK,1060,2025-02-28,2025-03-13,Image Labelling,0.934,2127,6.04
8175,IN,1078,2024-12-13,2025-03-31,Business Search,0.892,92,0.47
8176,UK,1013,2024-10-22,2025-02-25,Image Labelling,0.984,34,0.14
8177,UK,1068,2025-03-21,2025-04-14,Business Search,0.881,47,0.2
8178,IN,1121,2025-02-12,2025-04-14,Receipt Transcription,0.949,31,0.11
8179,US,1048,2024-09-09,2025-02-01,Image Labelling,0.966,39,0.2
8180,US,1133,2025-01-22,2025-02-27,Business Search,0.981,174,0.54
8181,US,1168,2024-09-04,2025-02-11,Business Search,0.961,633,2.62
8182,US,1158,2024-10-30,2025-02-08,Image Labelling,0.691,984,5.12
8183,US,1115,2024-11-19,2025-03-05,Image Labelling,1.0,985,4.51
8184,ZA,1089,2025-02-25,2025-03-24,Image Labelling,0.975,339,1.3
8185,UK,1191,2025-02-15,2025-02-26,Business Search,0.949,510,1.63
8186,US,1088,2024-12-20,2025-02-23,Receipt Transcription,0.917,785,3.8
8187,UK,1178,2025-01-18,2025-02-04,Image Labelling,1.0,682,2.04
8188,BR,1186,2025-02-13,2025-03-02,Image Labelling,0.922,603,2.18
8189,IT,1182,2024-09-21,2025-03-10,Image Labelling,0.921,216,0.73
8190,DE,1116,2025-02-19,2025-03-03,Business Search,0.957,33,0.12
8191,BR,1121,2025-01-09,2025-03-29,Receipt Transcription,0.914,62,0.26
8192,DE,1176,2024-10-08,2025-02-21,Image Labelling,0.998,844,2.87
8193,UK,1167,2025-02-09,2025-04-01,Image Labelling,0.91,45,0.18
8194,UK,1014,2025-01-17,2025-04-16,Business Search,0.974,182,0.71
8195,DE,1197,2025-01-16,2025-03-21,Receipt Transcription,0.914,765,2.9
8196,UK,1192,2024-10-25,2025-03-02,Image Labelling,0.937,41,0.17
8197,IN,1006,2024-10-26,2025-02-12,Receipt Transcription,1.0,869,4.31
8198,UK,1189,2025-02-24,2025-04-20,Receipt Transcription,0.995,210,1.01
8199,IT,1053,2024-12-12,2025-04-04,Receipt Transcription,0.913,45,0.15
8200,US,1179,2025-02-18,2025-02-18,Image Labelling,0.926,164,0.56
8201,US,1178,2024-10-12,2025-02-09,Receipt Transcription,0.979,292,0.85
8202,DE,1003,2024-09-13,2025-01-31,Image Labelling,0.933,135,0.74
8203,BR,1000,2025-02-12,2025-02-13,Receipt Transcription,0.889,200,0.7
8204,DE,1104,2024-12-05,2025-04-02,Image Labelling,0.97,1510,5.01
8205,IN,1065,2024-12-16,2025-03-24,Receipt Transcription,0.94,114,0.44
8206,UK,1162,2025-03-05,2025-04-24,Image Labelling,0.97,221,0.82
8207,US,1080,2025-01-20,2025-02-24,Receipt Transcription,0.986,370,1.71
8208,US,1137,2024-10-17,2025-04-07,Business Search,0.982,1208,4.35
8209,UK,1194,2024-11-12,2025-02-06,Image Labelling,0.976,52,0.27
8210,US,1067,2024-12-26,2025-03-18,Business Search,0.951,70,0.31
8211,US,1101,2024-10-09,2025-03-10,Image Labelling,0.964,744,2.77
8212,IN,1192,2025-02-03,2025-04-12,Image Labelling,0.953,442,1.47
8213,US,1050,2024-11-06,2025-03-31,Image Labelling,0.951,70,0.32
8214,IT,1029,2024-11-03,2025-02-13,Image Labelling,0.942,620,2.13
8215,DE,1038,2025-03-19,2025-04-25,Image Labelling,0.931,224,1.16
8216,IT,1137,2025-02-07,2025-04-11,Receipt Transcription,0.956,402,1.65
8217,IT,1171,2025-02-23,2025-02-27,Receipt Transcription,0.971,81,0.38
8218,UK,1159,2025-01-22,2025-04-11,Business Search,0.908,777,2.94
8219,UK,1171,2024-11-06,2025-04-23,Image Labelling,0.911,609,3.35
8220,IN,1062,2024-12-25,2025-04-17,Image Labelling,0.947,1238,6.71
8221,BR,1060,2024-12-04,2025-03-18,Business Search,0.949,420,1.28
8222,US,1064,2024-10-14,2025-03-19,Receipt Transcription,0.926,708,3.89
8223,US,1168,2025-01-15,2025-02-05,Receipt Transcription,1.0,52,0.23
8224,BR,1080,2024-09-20,2025-02-10,Receipt Transcription,0.652,206,1.05
8225,UK,1011,2024-12-21,2025-04-25,Receipt Transcription,0.894,105,0.48
8226,IT,1123,2025-01-01,2025-04-06,Image Labelling,0.63,107,0.37
8227,DE,1001,2024-11-21,2025-01-29,Business Search,0.942,51,0.27
8228,US,1072,2025-03-11,2025-03-17,Image Labelling,0.98,49,0.17
8229,IT,1075,2024-11-08,2025-02-27,Image Labelling,0.941,42,0.16
8230,IT,1187,2024-11-14,2025-02-24,Image Labelling,0.918,49,0.19
8231,UK,1024,2025-01-26,2025-03-18,Image Labelling,0.943,276,1.13
8232,DE,1117,2025-01-06,2025-02-24,Image Labelling,0.975,292,1.48
8233,IN,1188,2024-12-16,2025-02-18,Business Search,0.964,330,1.75
8234,IT,1107,2025-02-02,2025-04-21,Image Labelling,0.958,633,2.62
8235,US,1098,2024-09-20,2025-01-30,Business Search,0.946,721,3.05
8236,IT,1021,2024-12-05,2025-03-07,Image Labelling,0.929,519,2.47
8237,IN,1055,2025-02-15,2025-03-14,Image Labelling,0.936,78,0.33
8238,IN,1148,2024-09-28,2025-03-07,Receipt Transcription,0.891,138,0.67
8239,IN,1054,2024-12-31,2025-03-27,Image Labelling,0.974,46,0.16
8240,US,1039,2024-08-21,2025-01-29,Image Labelling,0.949,418,1.42
8241,IN,1178,2024-12-27,2025-04-16,Image Labelling,0.935,613,1.81
8242,IN,1149,2024-12-01,2025-03-13,Business Search,0.94,53,0.15
8243,US,1155,2025-01-16,2025-03-17,Receipt Transcription,0.957,226,1.01
8244,DE,1120,2024-09-16,2025-03-09,Business Search,0.877,235,1.01
8245,UK,1003,2024-09-13,2025-03-08,Receipt Transcription,0.931,802,3.96
8246,IN,1025,2024-12-09,2025-02-12,Image Labelling,0.968,318,1.7
8247,UK,1111,2024-10-22,2025-03-13,Receipt Transcription,0.883,418,1.67
8248,IT,1112,2025-01-16,2025-03-05,Receipt Transcription,0.934,89,0.29
8249,BR,1187,2024-11-20,2025-03-10,Image Labelling,0.934,301,1.52
8250,IN,1022,2024-09-30,2025-01-28,Receipt Transcription,0.97,63,0.26
8251,BR,1168,2024-08-14,2025-02-07,Receipt Transcription,0.921,872,3.46
8252,ZA,1057,2025-02-13,2025-04-05,Receipt Transcription,0.886,1041,3.36
8253,US,1007,2024-10-29,2025-03-05,Image Labelling,0.918,317,1.73
8254,IN,1115,2025-02-18,2025-04-03,Receipt Transcription,0.924,105,0.35
8255,DE,1050,2025-02-05,2025-02-11,Receipt Transcription,0.987,462,1.65
8256,BR,1188,2025-02-07,2025-03-30,Image Labelling,0.993,158,0.45
8257,UK,1000,2024-10-04,2025-02-22,Image Labelling,0.726,353,1.15
8258,ZA,1119,2024-10-14,2025-03-31,Business Search,1.0,176,0.69
8259,IN,1029,2025-01-30,2025-02-03,Image Labelling,0.941,443,1.78
8260,IN,1016,2025-02-06,2025-02-26,Image Labelling,0.979,142,0.66
8261,US,1150,2024-12-02,2025-02-06,Business Search,1.0,683,2.19
8262,US,1101,2025-01-02,2025-03-24,Image Labelling,0.982,578,3.21
8263,IN,1121,2024-09-17,2025-03-03,Business Search,0.972,236,0.72
8264,US,1151,2025-01-30,2025-02-02,Receipt Transcription,0.943,451,1.27
8265,NG,1085,2024-10-14,2025-03-15,Image Labelling,0.941,1149,3.39
8266,US,1068,2024-10-29,2025-01-29,Image Labelling,0.915,250,1.31
8267,IN,1088,2025-03-03,2025-04-10,Image Labelling,0.931,345,1.26
8268,DE,1179,2025-03-17,2025-04-21,Image Labelling,0.906,291,1.42
8269,IN,1070,2025-04-01,2025-04-09,Receipt Transcription,0.923,1223,4.71
8270,IN,1057,2025-03-09,2025-04-22,Image Labelling,0.911,115,0.41
8271,UK,1149,2024-10-24,2025-04-17,Business Search,0.948,292,1.16
8272,US,1058,2024-11-25,2025-04-17,Business Search,0.931,231,1.18
8273,US,1171,2024-08-29,2025-02-18,Image Labelling,0.983,411,2.11
8274,IT,1036,2025-01-20,2025-02-16,Image Labelling,0.932,449,1.9
8275,IT,1161,2025-01-01,2025-04-09,Image Labelling,1.0,99,0.48
8276,IN,1099,2024-09-26,2025-03-12,Image Labelling,0.955,176,0.66
8277,IT,1112,2024-12-24,2025-04-21,Business Search,0.97,173,0.93
8278,DE,1184,2025-04-14,2025-04-17,Receipt Transcription,0.97,38,0.13
8279,DE,1184,2025-04-05,2025-04-17,Receipt Transcription,0.975,44,0.16
8280,US,1167,2024-12-12,2025-02-25,Receipt Transcription,0.962,118,0.47
8281,UK,1019,2024-11-30,2025-02-07,Business Search,0.986,207,0.62
8282,ZA,1016,2024-10-20,2025-03-29,Image Labelling,0.92,294,1.01
8283,BR,1179,2024-10-18,2025-03-07,Receipt Transcription,0.963,46,0.23
8284,UK,1003,2025-03-29,2025-04-21,Receipt Transcription,0.916,100,0.41
8285,IT,1190,2025-03-28,2025-04-13,Image Labelling,0.948,424,1.41
8286,NG,1049,2024-11-15,2025-04-20,Image Labelling,0.956,169,0.59
8287,DE,1081,2024-12-29,2025-03-19,Receipt Transcription,0.944,133,0.41
8288,US,1049,2025-02-13,2025-03-15,Image Labelling,0.92,426,1.27
8289,US,1015,2024-11-03,2025-04-13,Receipt Transcription,1.0,200,0.78
8290,IT,1071,2024-11-05,2025-03-14,Business Search,0.912,376,2.07
8291,ZA,1060,2025-03-20,2025-04-18,Business Search,0.997,496,2.27
8292,IN,1043,2024-10-13,2025-01-30,Receipt Transcription,0.946,185,0.66
8293,US,1145,2024-12-06,2025-02-28,Image Labelling,0.939,80,0.29
8294,US,1049,2025-02-25,2025-04-12,Image Labelling,0.926,231,0.92
8295,IN,1079,2024-10-31,2025-02-14,Receipt Transcription,0.933,58,0.19
8296,NG,1029,2024-12-14,2025-03-03,Receipt Transcription,0.908,177,0.71
8297,IN,1048,2024-10-18,2025-01-27,Image Labelling,0.915,360,1.71
8298,IN,1097,2025-01-02,2025-02-23,Image Labelling,0.946,293,0.92
8299,US,1148,2024-10-17,2025-02-24,Receipt Transcription,0.942,273,1.45
8300,NG,1149,2025-01-16,2025-04-02,Receipt Transcription,0.98,1180,6.22
8301,IN,1174,2024-11-02,2025-03-28,Receipt Transcription,0.943,811,3.43
8302,UK,1024,2024-11-19,2025-03-08,Business Search,0.994,230,1.04
8303,IN,1055,2025-02-18,2025-04-02,Business Search,0.947,153,0.68
8304,UK,1191,2025-01-04,2025-03-06,Image Labelling,0.94,68,0.19
8305,US,1155,2025-01-15,2025-03-07,Image Labelling,0.887,904,2.61
8306,UK,1160,2025-01-21,2025-03-26,Business Search,0.941,855,4.69
8307,US,1193,2025-03-03,2025-04-02,Image Labelling,0.986,259,1.06
8308,UK,1003,2025-01-18,2025-04-13,Business Search,1.0,313,1.15
8309,DE,1011,2025-03-27,2025-04-04,Image Labelling,0.945,62,0.29
8310,IT,1144,2025-01-25,2025-03-28,Image Labelling,0.965,196,0.69
8311,DE,1035,2025-01-01,2025-03-18,Image Labelling,0.974,94,0.32
8312,UK,1015,2024-10-09,2025-02-23,Business Search,0.909,225,0.94
8313,US,1150,2024-09-17,2025-02-19,Receipt Transcription,0.944,145,0.52
8314,IN,1199,2024-11-24,2025-04-12,Receipt Transcription,0.949,404,1.41
8315,DE,1120,2025-03-18,2025-04-01,Receipt Transcription,0.986,1359,3.79
8316,UK,1136,2024-11-28,2025-03-27,Receipt Transcription,0.997,268,1.46
8317,BR,1077,2024-09-19,2025-02-19,Image Labelling,0.937,99,0.33
8318,IN,1054,2025-01-19,2025-04-24,Image Labelling,0.922,192,0.72
8319,BR,1072,2024-08-19,2025-02-03,Image Labelling,0.956,223,0.72
8320,DE,1063,2024-11-04,2025-04-12,Receipt Transcription,0.985,339,1.7
8321,US,1174,2024-09-09,2025-02-14,Image Labelling,0.979,276,0.93
8322,IN,1089,2024-09-11,2025-03-03,Image Labelling,0.975,711,3.46
8323,UK,1194,2024-10-20,2025-03-06,Image Labelling,0.97,76,0.26
8324,DE,1137,2024-11-24,2025-03-27,Image Labelling,0.997,201,0.63
8325,US,1088,2024-11-02,2025-03-17,Image Labelling,0.969,98,0.45
8326,NG,1003,2024-12-10,2025-02-12,Image Labelling,0.959,318,1.65
8327,US,1029,2025-01-28,2025-01-29,Receipt Transcription,1.0,372,1.14
8328,BR,1138,2025-03-25,2025-04-01,Image Labelling,0.922,113,0.55
8329,BR,1050,2024-10-11,2025-03-13,Receipt Transcription,0.944,940,4.53
8330,DE,1146,2024-12-17,2025-02-28,Receipt Transcription,0.962,540,1.74
8331,IN,1140,2024-12-18,2025-02-21,Image Labelling,0.926,322,1.61
8332,IN,1184,2024-12-22,2025-04-11,Image Labelling,0.938,844,3.12
8333,NG,1130,2025-03-14,2025-04-08,Image Labelling,0.922,81,0.29
8334,DE,1111,2025-01-04,2025-04-11,Receipt Transcription,0.946,549,2.65
8335,IN,1077,2024-09-18,2025-02-15,Image Labelling,0.993,40,0.18
8336,DE,1165,2025-01-27,2025-04-13,Business Search,0.962,240,1.09
8337,BR,1026,2025-01-22,2025-04-25,Image Labelling,0.881,148,0.46
8338,DE,1087,2025-02-20,2025-03-21,Business Search,0.971,363,1.26
8339,DE,1137,2024-09-21,2025-01-31,Receipt Transcription,0.921,328,1.51
8340,IN,1117,2024-12-20,2025-03-31,Business Search,0.962,677,3.73
8341,NG,1180,2024-12-07,2025-03-16,Image Labelling,0.931,303,1.08
8342,IT,1154,2025-02-20,2025-04-01,Image Labelling,0.967,157,0.48
8343,US,1006,2024-08-31,2025-02-12,Image Labelling,0.934,220,0.8
8344,DE,1114,2025-01-20,2025-03-22,Receipt Transcription,0.95,314,1.48
8345,ZA,1091,2024-09-24,2025-03-16,Image Labelling,0.936,102,0.45
8346,IN,1089,2025-01-20,2025-03-22,Image Labelling,0.948,590,3.18
8347,NG,1081,2024-10-22,2025-04-02,Image Labelling,0.965,139,0.59
8348,US,1012,2024-12-06,2025-03-16,Business Search,0.976,51,0.19
8349,DE,1071,2025-02-13,2025-02-24,Image Labelling,0.946,229,0.78
8350,IN,1090,2024-09-05,2025-02-23,Image Labelling,0.971,86,0.37
8351,NG,1187,2025-01-30,2025-03-30,Receipt Transcription,0.96,220,0.97
8352,US,1141,2024-11-01,2025-03-27,Image Labelling,0.96,630,2.8
8353,BR,1104,2024-11-24,2025-03-05,Receipt Transcription,0.931,766,2.83
8354,IT,1043,2025-01-15,2025-02-27,Receipt Transcription,0.915,176,0.55
8355,US,1197,2025-02-26,2025-03-23,Image Labelling,0.917,376,1.63
8356,UK,1083,2025-01-13,2025-02-24,Image Labelling,0.967,98,0.38
8357,UK,1027,2025-01-15,2025-04-23,Image Labelling,0.946,91,0.41
8358,IT,1022,2024-12-20,2025-03-21,Receipt Transcription,0.989,1011,4.2
8359,US,1011,2025-02-01,2025-03-21,Business Search,0.957,479,2.26
8360,US,1151,2025-01-11,2025-02-08,Image Labelling,0.979,77,0.35
8361,NG,1050,2025-01-18,2025-03-22,Image Labelling,0.985,855,2.6
8362,US,1107,2025-01-25,2025-02-22,Image Labelling,0.674,661,2.37
8363,UK,1149,2024-12-07,2025-03-08,Image Labelling,0.915,59,0.17
8364,DE,1061,2024-12-28,2025-03-16,Receipt Transcription,0.911,280,1.55
8365,IT,1025,2024-12-21,2025-03-11,Receipt Transcription,0.9,459,2.39
8366,IN,1057,2025-02-21,2025-04-09,Image Labelling,0.926,59,0.25
8367,DE,1198,2025-01-19,2025-02-04,Receipt Transcription,0.982,67,0.26
8368,IN,1142,2024-10-29,2025-02-11,Image Labelling,0.977,135,0.4
8369,IN,1067,2024-08-19,2025-02-10,Business Search,0.934,56,0.23
8370,US,1005,2024-12-11,2025-04-10,Business Search,0.983,374,1.29
8371,US,1110,2024-08-31,2025-02-06,Receipt Transcription,0.953,367,1.82
8372,DE,1129,2025-04-07,2025-04-24,Image Labelling,0.95,60,0.32
8373,DE,1158,2025-04-14,2025-04-24,Image Labelling,1.0,82,0.37
8374,IN,1023,2024-12-10,2025-04-26,Receipt Transcription,0.96,1408,4.99
8375,IT,1034,2025-02-03,2025-04-25,Receipt Transcription,0.972,79,0.41
8376,DE,1046,2024-09-14,2025-02-09,Receipt Transcription,0.97,1210,6.22
8377,US,1030,2024-12-31,2025-03-27,Image Labelling,1.0,292,1.21
8378,UK,1088,2025-02-18,2025-03-03,Image Labelling,0.962,456,1.86
8379,IT,1199,2025-01-11,2025-04-02,Receipt Transcription,0.949,677,3.06
8380,DE,1075,2024-11-05,2025-03-04,Image Labelling,0.947,30,0.09
8381,IT,1117,2024-11-30,2025-03-02,Receipt Transcription,0.92,68,0.26
8382,US,1129,2025-03-10,2025-04-18,Business Search,0.972,116,0.33
8383,IN,1103,2024-09-27,2025-03-12,Business Search,0.942,611,3.12
8384,BR,1058,2024-12-05,2025-04-03,Image Labelling,0.965,49,0.14
8385,UK,1095,2024-12-22,2025-03-26,Image Labelling,0.979,817,2.47
8386,DE,1062,2025-01-01,2025-03-27,Receipt Transcription,0.983,218,0.96
8387,ZA,1144,2024-11-09,2025-02-27,Receipt Transcription,0.996,399,1.23
8388,UK,1053,2024-11-27,2025-02-18,Image Labelling,0.963,1549,8.55
8389,IT,1124,2025-02-20,2025-04-16,Business Search,0.992,263,1.31
8390,US,1148,2024-11-21,2025-01-29,Business Search,0.953,248,1.08
8391,IN,1021,2025-01-08,2025-02-11,Image Labelling,0.993,314,0.94
8392,US,1124,2024-09-23,2025-02-07,Business Search,0.896,322,1.78
8393,ZA,1096,2024-11-28,2025-04-22,Image Labelling,0.942,333,1.77
8394,IN,1115,2024-09-17,2025-01-27,Image Labelling,0.944,568,1.68
8395,IN,1182,2024-11-05,2025-01-27,Image Labelling,0.978,224,1.13
8396,IN,1028,2025-01-09,2025-02-16,Image Labelling,0.906,266,1.23
8397,IT,1148,2024-09-01,2025-02-21,Image Labelling,1.0,191,0.55
8398,DE,1001,2024-10-31,2025-03-18,Business Search,0.989,126,0.43
8399,BR,1041,2024-12-05,2025-04-23,Image Labelling,0.979,90,0.26
8400,ZA,1051,2024-11-17,2025-03-09,Business Search,0.941,890,4.34
8401,DE,1037,2025-01-02,2025-02-21,Receipt Transcription,0.894,658,2.97
8402,BR,1130,2025-03-09,2025-04-10,Image Labelling,0.971,370,1.62
8403,IT,1152,2025-02-10,2025-03-02,Image Labelling,0.949,117,0.5
8404,IT,1076,2024-10-19,2025-02-08,Image Labelling,0.9,37,0.17
8405,DE,1189,2025-03-07,2025-04-08,Receipt Transcription,0.969,118,0.57
8406,UK,1142,2024-11-21,2025-01-27,Receipt Transcription,0.983,42,0.2
8407,US,1197,2024-09-20,2025-02-14,Image Labelling,0.968,384,1.18
8408,UK,1104,2025-02-01,2025-03-25,Image Labelling,0.911,990,4.31
8409,IT,1009,2024-12-20,2025-02-05,Business Search,0.991,293,1.53
8410,DE,1119,2024-10-13,2025-02-19,Image Labelling,0.912,113,0.44
8411,DE,1126,2024-11-30,2025-03-03,Image Labelling,0.97,47,0.18
8412,ZA,1113,2024-11-22,2025-03-03,Image Labelling,0.953,88,0.4
8413,DE,1068,2025-04-01,2025-04-24,Receipt Transcription,0.929,136,0.48
8414,DE,1108,2025-02-05,2025-03-28,Business Search,0.917,148,0.81
8415,US,1043,2024-11-25,2025-01-30,Business Search,0.933,162,0.78
8416,US,1168,2024-08-25,2025-02-15,Image Labelling,0.65,405,1.61
8417,IN,1019,2025-03-16,2025-03-23,Receipt Transcription,0.967,245,1.27
8418,IT,1106,2024-10-30,2025-04-01,Business Search,0.917,184,0.55
8419,IN,1164,2025-02-08,2025-03-02,Business Search,1.0,51,0.19
